ありがとう,ありがとうございます
おはよう,おはようございます
了解しました,承知いたしました
帰る,お帰りになる
言う,おっしゃる
たべる,召し上がる
見る,ご覧になる
行く,いらっしゃる
教えてください,ご教示ください
久しぶり,ご無沙汰しております
来る,いらっしゃる
聞く,お聞きになる
受け取る,頂戴する
する,される
会う,お会いになる
居る,いらっしゃる
知る,ご存じ
読む,お読みになる
もらう,もらわれる
思う,思われる
着る,お召しになる
座る,おかけになる
待つ,お待ちになる
知っている,御存じだ
思う,お思いになる
考える,お考えになる
もらう,お受け取りになる
受け取る,お受け取りになる
死ぬ,お亡くなりになる
気に入る,お気に召す
確認する,確認される
借りる,お借りになる
わかる,お分かりになる
買う,お買い求めになる
利用する,ご利用になる
会社,御社
お店,貴店
銀行,貴行
学校,貴校
新聞,貴紙
雑誌,貴誌
名前,お名前
住まい,お住まい
顔,ご尊顔
体,お体
気持ち,お気持ち
贈り物,ご配慮
食事,佳肴
土地,ご当地
ちょっと,少々
じゃあ,では
さっき,さきほど
もうすぐ,間も無く
今,ただいま
それって,それは
どんな,どのような
あんまり,あまり
やっと,ようやく
ごめんなさい,申し訳ございません
すみません,ありがとうございます
分かりました,承知しました　
話しておきます,申し伝えます
見てきます,確認して参ります
今,ただいま
どうですか,いかがでしょうか
分からない,分かりません
分かりません,分かりません
受ける,承る
いる,いらっしゃる
くれる,くださる
する,なさる
飲む,召し上がる
死ぬ,お亡くなりになる
寝る,休まれる
尋ねる,お尋ねになる
命じる,おおせになる
与える,与えられる
来る,お見えになる
うまい,美味しい
今年,本年
この間,先日
これ,こちら
さっき,さきほど
すごく,たいへん
そう,さよう
そこ,そちら
そのとき,その節
どう,いかが
どっち,どちら
とても,まことに
どのくらい,いかほど
ゆうべ,昨晩
よい,よろしい
去年,昨年
今度,この度
今日,本日
少し,少々
水,お冷や
釣り銭,お釣り
代金,お代
ご苦労さま,お疲れさま
しばらくぶりです,お無沙汰しております
お世話様です,お世話になっております
お体をご自愛くださいませ,ご自愛ください
つまらないものですが,ほんの気持ち程度ですが
厚くお詫び申し上げます,深くお詫び申し上げます
どうしましょうか,いかが致しましょう
お召し上がりください,召し上がって下さい
やっぱり,やはり
全然,全く
全部,全て
一番,最も
絶対に,必ず
たぶん,おそらく
多分,おそらく
とっても,非常に
いっぱい,多く
たくさん,多く
もっと,さらに
だんだん,次第に
どんどん,急速に
ちゃんと,きちんと
だいたい,およそ
どうして,なぜ
なんで,なぜ
こっち,こちら
そっち,そちら
あっち,あちら
こんな,このような
そんな,そのような
あんな,あのような
こんなに,これほど
そんなに,それほど
あんなに,あれほど
でも,しかし
だけど,だが
ですが,とはいえ
けれども,とはいえ
なので,そのため
ですから,したがって
だから,したがって
なんか,など
いろんな,様々な
いい,よい
これからも,今後とも
あとで,のちほど
後で,後ほど
すぐに,早急に
どうしますか,いかがいたしますか
どこへ,どちらへ
こっちで,こちらで
しときました,しておきました
してます,しています
なんかも,なども
ばっかり,ばかり
いいです,結構です
いいですか,よろしいでしょうか
してください,していただけますか
やめてください,お控えください
すみませんが,恐れ入りますが
そうです,さようでございます
大丈夫です,結構です
できません,いたしかねます
どうしましたか,いかがなされますか
行きます,参ります
雨の中,お足元が悪い中
お久しぶりです,ご無沙汰しております
明日以降,後日
明日の朝,明朝
昨日の夜,昨夜
前に,以前に
どちら様でしょうか,お名前伺ってもよろしいですか
なるほど,おっしゃる通りだと思います
誰,どちら様
あの人,あちら様
いいですか,いかがなさいますか
俺,私
オレ,私
ボク,私
僕,私
れる,れます
